customer 【名】客
servant 【名】使用人、召使
display 【名】（商品などの）陳列
president 【名】社長、大統領
delivery 【名】配達、送付
interview 【名】面接
receipt 【名】領収書、受け取り
engineer 【名】技術者
dealer 【名】貿易業者、卸業者
path 【名】歩道、散歩道
credit-card 【名】クレジットカード
court 【名】裁判所
copyright 【名】著作権、版権
consultant 【名】コンサルタント、顧問
composer 【名】作曲家
secretary 【名】秘書、（各省の）長官
seminar 【名】研究会、ｾﾐﾅｰ
laborer 【名】作業員
message 【名】伝言
journalist 【名】ジャーナリスト
employer 【名】雇用者
lawyer 【名】弁護士、法律家
librarian 【名】図書館員
license 【名】免許
mall 【名】モール、ショッピングセンター
performer 【名】役者、演奏者
memo 【名】覚書、メモ
receptionist 【名】受付係
motorcycle 【名】オートバイ
officer 【名】役人、公務員
operator 【名】操作者、電話交換手
fire-engine 【名】消防車
owner 【名】所有者、持ち主
package 【名】梱包、包装
pamphlet 【名】小冊子、パンフレット
manager 【名】経営者、支配人、部長
audio-visual 【形】視聴覚の
attire 【名】衣装
bookkeeper 【名】帳簿係
telegram 【名】電報
blueprint 【名】青写真
bonus 【名】特別手当
tour 【名】視察、小旅行
cashier 【名】勘定係、レジ係
starting salary 【名】初任給
chairman 【名】議長
ballroom 【名】（ホテルなどの）舞踊場
auditorium 【名】講堂
telephone-directory 【名】電話帳
clerk 【名】事務員
cash 【名】現金
guideline 【名】指針
appendix 【名】付録、追加
grain 【名】穀物
attorney 【名】弁護士
goodwill 【名】親善
fixed-salary 【名】固定給
audit 【名】会計監査
firsthand 【副】直接に
governor 【名】州知事
agency 【名】代理店
install 【動】（装置を）取り付ける
initiative 【名】進取の精神
inhabitant 【名】居住者
absentee 【名】欠席者
accountant 【名】会計士
headline 【名】（新聞などの）大見出し
index 【名】索引、指数
anniversary 【名】（毎年の）記念日
identification 【名】身分証明
agenda 【名】議題
amateur 【名】素人
highlight 【名】呼び物、ハイライト
headquarters 【名】本部
harvest 【名】収穫
indirect 【形】間接的な
discount 【名】割引、値引き
chamber 【名】集会場
commission 【名】（代理）手数料
commitment 【名】委託、委任
commuter 【名】通勤者
congressman 【名】下院議員
corporate 【形】法人組織の
correspondence 【名】文通、通信
cancel 【動】取り消す、清算する
brokerage 【名】仲買手数料
brochure 【名】パンフレット
breakdown 【名】（機械の）故障
boycott 【名】不買運動
deposit 【動】貯金する
exchange 【動】両替する
electrician 【名】電気技術者
banquet 【名】（公式の）宴会
bargain 【名】有利な取引、契約
bid 【名】入札
debit 【名】（帳簿の）借方
enrollment 【名】入会、加入
diplomat 【名】修了証書
employee 【名】従業員
director 【名】重役、取締役
bond 【名】拘束、債権
educator 【名】教育学者、先生
earnings 【名】収入
duplicate 【動】複製する
distributor 【名】販売代理店
extension 【名】（電話の）内線
commander 【名】命令者、指揮官
upcoming 【形】近く発表の
refund 【名】返済金
landlord 【名】家主
trade 【名】商売、貿易
internal 【形】国内の、内部の
recruit 【名】新入社員
pharmacy 【名】薬局
unemployment 【名】失業
tenant 【名】賃借人
update 【動】最新式にする
questionnaire 【名】アンケート
quarterly 【形】年４回の、季節ごとの
utilities 【名】電気・ガス・水道料
province 【名】州、地域
superintendent 【名】指導監督者、管理者
rear 【名】背後、後方
secondhand 【形】中古の
skyscraper 【名】超高層ビル
sightseeing 【名】観光
supplier 【名】部品製造業者
shorthand 【名】速記
shipping 【名】船積み
stockholder 【名】株主
registered-mail 【名】書留郵便
surface-mail 【名】船便
registration 【名】登録、登記
scandal 【名】醜聞、スキャンダル
symposium 【名】座談会、シンポジウム
saving 【名】貯金、節約
retail 【名】小売
resort 【名】行楽地、方策
vessel 【名】船、血管
session 【名】会合、学期
recipient 【名】受取人
mechanics 【名】機構、仕組み
predecessor 【名】前任者、先輩
manufacturer 【名】製造業者、メーカー
maestro 【名】大家、巨匠
luncheon 【名】昼食（会）
lottery 【名】宝くじ、抽選
reduction 【名】割引
liability 【名】負債
millionaire 【名】大金持ち、大富豪
developer 【名】宅地開発業者
exclusive 【形】独占的な
lawsuit 【名】訴訟、告訴
itinerary 【名】旅行計画
invoice 【名】（商業）送り状
inventory 【名】在庫調べ、棚卸し
lodging 【名】宿泊（設備）
peddler 【名】行商人
veteran 【名】退役軍人
personnel 【名】人事課、全職員
vice-president 【名】副社長、副大統領
pension 【名】年金
peer 【名】同僚
pedestrian 【名】歩行者
minister 【名】大臣
patron 【名】顧客
warehouse 【名】倉庫、問屋
wholesale 【名】卸売り
outdoors 【副】野外で
option 【名】随意、選択権
work-load 【名】作業負荷、標準作業量
workshop 【名】職場、作業場
visa 【名】査証、ビザ
tariff 【名】関税表、運賃表
gratuity 【名】こころづけ、チップ
supervise 【動】監督する
dividend 【名】（株の）配当
infringement 【名】法律違反、版権侵害
obituary 【名】死亡記事
incur 【動】（損害などを）
incidental-expense 【名】雑費
nominal 【形】名目上の
fiscal 【形】会計の
overdue 【形】支払期限を過ぎた
exempt 【動】免除する
endorse 【動】（手形に）裏書する
cuisine 【名】料理（法）
petty 【形】ささいな
smuggle 【動】密輸入する
proximity 【名】近接、近いこと
quota 【名】割り当て、持分
deficit 【名】欠損、赤字
defer 【動】延期する
curtail 【動】（費用を）節減する
reimburse 【動】弁償する
remit 【動】送金する
complimentary 【形】無料の
jury 【名】陪審
celebrity 【名】名士
perjury 【名】偽証（罪）
